"","Row.names","Usuario1","Usuario2","Usuario3","Usuario4","Usuario5"
"1","‚ñ",0,0,1,3,5
"2","‚Ä",0,0,2,4,10
"3","‚Äù",0,0,1,1,0
"4","„áok",0,0,0,1,1
"5","„âl",0,0,1,0,4
"6","„âstas",0,0,1,0,1
"7","‚ù",0,0,1,0,2
"8","„Ålvarez",0,0,0,1,1
"9","a„",0,0,14,23,10
"10","‚‚",0,0,1,2,2
"11","‚a„n",0,0,0,1,1
"12","a„n",0,0,9,0,4
"13","abrazar",0,0,8,1,0
"14","abrazo",0,1,2,0,0
"15","abre",0,1,0,0,1
"16","abreu",0,1,0,3,0
"17","absolutely",0,1,0,0,2
"18","absorber",0,1,0,1,0
"19","abusos",1,1,0,0,1
"20","ac·",1,1,0,0,0
"21","acaba",0,1,1,0,0
"22","acabar",0,1,1,0,1
"23","academia",1,0,0,2,0
"24","ac‰km‰Âˇ",0,0,0,1,1
"25","‚c„mo",0,0,2,0,1
"26","acceso",0,1,1,1,0
"27","acci„n",0,0,20,1,0
"28","acciones",0,1,0,1,0
"29","acepta",1,0,1,0,0
"30","acerca",0,2,1,0,0
"31","acertadas",1,0,0,0,1
"32","acogedor",1,0,1,0,0
"33","acompa„arnos",0,0,1,1,0
"34","‚comparte",0,0,1,1,1
"35","acopio",1,0,0,1,0
"36","acorde",0,0,0,2,1
"37","action",1,0,1,0,0
"38","actitud",0,1,1,2,0
"39","activos",0,1,0,1,1
"40","actores",2,0,0,0,1
"41","actos",0,1,1,0,0
"42","actually",0,0,0,1,1
"43","acuerdo",11,1,0,4,0
"44","ad",0,0,0,1,3
"45","adelante",2,0,9,0,2
"46","adentro",0,28,1,1,1
"47","adicional",1,0,0,4,0
"48","adoptar",0,1,6,0,0
"49","adultos",1,1,0,0,0
"50","afecta",1,0,0,3,0
"51","afectados",1,0,0,2,0
"52","afecto",0,0,1,0,1
"53","africa",2,0,1,0,0
"54","agarr„",0,0,8,0,1
"55","age",1,0,1,0,0
"56","agencia",0,0,0,2,1
"57","agon„",0,0,1,1,0
"58","agosto",0,0,0,3,1
"59","agradecidos",0,1,0,1,0
"60","agradezco",0,0,2,0,1
"61","agresiones",2,0,0,1,0
"62","agua",12,2,0,44,1
"63","ah",5,0,0,0,4
"64","ahaha",2,0,0,0,5
"65","ahi",0,0,0,1,1
"66","ahora",10,4,8,3,7
"67","aire",0,1,0,3,1
"68","aja",2,0,0,0,1
"69","aka",0,1,0,1,1
"70","„l",0,0,3,0,2
"71","alberto",2,0,0,2,2
"72","album",2,0,0,5,4
"73","alcanzar",1,0,0,1,0
"74","alegr„",0,0,7,3,1
"75","aleja",0,1,0,1,0
"76","alejados",0,1,1,0,0
"77","alejandro",1,1,0,7,0
"78","alekxey",0,1,0,1,0
"79","alexander",3,0,0,1,1
"80","alguien",4,3,2,4,2
"81","alg˙n",2,2,0,0,0
"82","alguna",2,1,0,0,1
"83","aliento",2,0,0,1,0
"84","alimentos",2,2,6,2,1
"85","all„",0,0,1,5,2
"86","alla",0,0,0,1,5
"87","alle",0,0,0,1,2
"88","alma",1,1,4,1,1
"89","almas",0,0,1,0,1
"90","alrededor",0,0,1,0,2
"91","also",3,0,0,0,2
"92","alta",1,0,0,0,1
"93","„ltima",0,0,1,1,0
"94","„ltimos",0,0,6,2,2
"95","alto",0,0,1,1,2
"96","alvarado",0,0,6,0,1
"97","ama",2,0,8,0,0
"98","amaba",2,0,1,0,0
"99","aman",0,1,0,0,1
"100","am„rica",0,0,6,3,3
"101","amar",1,0,2,1,1
"102","amas",1,0,2,2,1
"103","amazing",1,1,1,2,3
"104","amazon",1,0,6,3,0
"105","ambiente",1,0,2,0,0
"106","amen",1,3,0,9,0
"107","ameno",0,1,0,1,1
"108","america",0,0,1,1,1
"109","amÈrica",2,1,0,0,0
"110","american",0,0,1,1,4
"111","amiga",2,1,1,7,4
"112","amigas",0,0,0,2,2
"113","amigo",3,0,1,1,5
"114","amigos",9,90,13,5,6
"115","amigs",2,0,0,0,1
"116","amo",2,0,1,7,3
"117","amolaplaya",0,28,0,0,1
"118","amor",6,4,58,10,6
"119","ana",0,2,6,4,3
"120","anciano",0,0,1,0,1
"121","ancianos",1,1,1,0,0
"122","andar",1,0,0,1,0
"123","ande",2,0,0,0,1
"124","anden",0,1,0,1,0
"125","andrea",2,0,2,0,3
"126","andreina",0,0,0,1,1
"127","andres",0,0,1,5,1
"128","angel",0,0,0,2,1
"129","angie",0,1,0,1,0
"130","angustia",1,0,6,0,0
"131","ani",1,0,1,0,1
"132","„nico",0,0,6,0,2
"133","animal",5,32,8,4,0
"134","animales",4,0,2,2,1
"135","animar",1,0,6,0,0
"136","·nimo",1,1,0,0,0
"137","anota",1,1,0,1,0
"138","another",2,29,0,0,2
"139","„ntegra",0,0,0,1,1
"140","anthony",0,0,1,1,3
"141","antisociales",1,0,0,1,2
"142","antonio",1,0,7,1,2
"143","aÒo",5,1,0,0,0
"144","aÒos",15,2,0,0,0
"145","‚úî",0,0,6,1,1
"146","aplicaciones",0,1,0,1,0
"147","apoyando",1,0,0,0,1
"148","apoyo",1,0,0,2,1
"149","aprendan",1,0,1,0,1
"150","aprender",2,0,0,5,0
"151","aprendido",1,0,2,0,0
"152","aprendizaje",1,0,0,0,1
"153","aprovechen",0,1,0,0,1
"154","apure",1,0,0,2,0
"155","aqu„",0,0,18,13,8
"156","‚qu„",0,0,25,4,7
"157","aquella",0,2,0,1,1
"158","aquellas",1,0,1,0,0
"159","aquellos",3,1,11,1,0
"160","aquÌ",10,6,0,0,0
"161","aqui",5,1,0,3,2
"162","‚qui„n",0,0,2,1,2
"163","archivo",0,0,1,1,0
"164","ardido",2,0,0,0,1
"165","art„stico",0,0,0,1,1
"166","ar",0,0,1,0,1
"167","arco",2,0,0,1,2
"168","argentina",2,0,5,0,3
"169","argentino",1,0,1,0,1
"170","ariel",1,0,0,0,1
"171","armas",0,1,1,0,2
"172","armon„",0,0,0,1,1
"173","arquero",1,0,0,0,1
"174","arrecho",0,0,0,7,1
"175","arriba",0,0,16,1,0
"176","art",0,0,0,1,2
"177","arte",0,0,12,5,2
"178","artista",2,0,7,5,1
"179","as„",0,0,15,14,15
"180","asi",3,0,2,9,11
"181","asÌ",16,39,0,0,0
"182","asistente",1,0,0,1,0
"183","asistir",0,1,0,1,1
"184","asked",0,0,0,1,1
"185","„önete",0,0,0,1,2
"186","„ste",0,0,1,1,0
"187","atado",1,1,0,0,0
"188","ataques",1,0,1,0,0
"189","atenci„ìn",0,0,0,1,1
"190","atenciÛn",3,1,0,0,0
"191","athena",1,1,0,0,0
"192","atracciones",1,1,0,0,0
"193","atraco",1,0,0,1,1
"194","atractivo",1,0,0,1,0
"195","atravesado",0,28,0,0,1
"196","atreva",1,0,1,0,0
"197","‚ô",0,0,1,0,5
"198","aula",0,0,1,2,0
"199","aun",3,1,0,0,0
"200","a˙n",3,1,0,0,0
"201","aunque",5,1,0,0,0
"202","‚ustedes",0,0,0,1,1
"203","australia",1,0,0,1,0
"204","auto",3,0,0,0,1
"205","autopista",0,0,0,1,1
"206","autoridades",0,0,2,1,0
"207","available",0,0,1,3,0
"208","avenida",3,0,0,0,1
"209","avÌsanos",1,3,0,0,0
"210","avisaremos",1,0,0,1,0
"211","aw",0,0,1,0,2
