"","id_user","post"
"1",1,"SADICA"
"2",1,"This girl got skillz  Freestyle by Lisa Female Freestyle Ball  use Hashtag teamfkskills to get featured More on Freekickerz"
"3",1,NA
"4",1,"What happens when you ask kids to beat a girl / Lo que pasa cuando le pides a un niño que le pegue a una niñaADORABLE 3Like our page  MiTu Network"
"5",1,"hahahahahahaha cdlm que bueno XDD"
"6",1,"Jajajaj buenísimoMIRA TAMBIÉN ESTE VIDEO https//wwwyoutubecom/watchv1nbAqGYGTtUNO OLVIDES DARLE LIKE A LA PÁGINA PARA MÁS VIDEOS"
"7",1,NA
"8",1,"Esto sí que es un buen mensaje  no olvides compartir"
"9",1,"Intento fallido de volar el drone numero 1"
"10",1,"yo durante lo que queda de mes JJAAJJAAJAJ"
"11",1,NA
"12",1,"Behind the scenes shot Lol I even got Doug Larson Photography in there "
"13",1,"El perfecto ejemplo de si no la ganas la empatas xD"
"14",1,"Momento de reflexión en RadioActiva"
"15",1,"Cuando entras en una relación y de repente todas quieren contigo"
"16",1,"Seems like as soon as you get into a relationship everybody wants you"
"17",1,"JAJAJAJAJAJAA"
"18",1,"Ese momento en el que no sabes si es mas importante tu amigo o la toalla"
"19",1,"Hshdhshdhsgs yo"
"20",1,"Juventud divino tesoro"
"21",1,"El brazalete hermano"
"22",1,"Matt Kemp retó al boricua Yadier Molina y pagó el precio TheBest MLB"
"23",1,"No solo lo dice un historiador Ysrrael Camero sino quien además trabajó en la Biblioteca de ese Liceo por aaaaaañoooossss Que terrible más que la mentira es el descaro como si la gente fuera tonta o como si no existiera memoria colectiva"
"24",1,"POR MI MADRE La mentira oficial http//owly/PewR4"
"25",1,NA
"26",1,"Mientras más aprendamos REALMENTE que éste es el único camino más rápido saldremos adelante como planeta"
"27",1,"      "
"28",1,"i don't know about hypocrites but i do know that when people say everybody sins usually it's about and starts with everybody lies 3 3 3 3 3 3 3 3 3 3 3"
"29",1,NA
"30",1,NA
"31",1,"Dragonballsuper causando furor en las redes sociales  Y es que el regreso del personaje anime más popular de la historia hablamos de goku y sus amigos en la nueva saga Dragon Ball Súper "
"32",1,NA
"33",1,NA
"34",1,NA
"35",1,"Estás de acuerdo"
"36",1,NA
"37",1," D3 wwwsamoeinteresnoenet   "
"38",1,NA
"39",1,"Así ves España según de dónde seasVía Así va España http//wwwasivaespanacom/otros/espanasegunquienlamire"
"40",1,NA
"41",1,"A Homeless Musician and His Cat Named Bob A homeless musician James Bowen meets homeless red cat he named Bob who changed his life forever One day in the subway James saw a cat with a leg wound likely from a fight with another cat It was obvious that the cat needed help James took the cat to the vet and he eventually recoveredJames then found it impossible to say bye to Street Cat Bob Bob followed James everywhere he went As James played the guitar on the street and Bob sitting nearby revenues increased dramatically James wrote a book describing their adventures on the street In the book James says that could not have imagined how meeting Bob would change his life"
"42",1,"Soy LUZista"
"43",1,"Feliz Tarde "
"44",1,"jajajaajajajajajajaajjajaja xD  CDSM Fraiderson FD Black"
"45",1,"v cosas que hacen xd"
"46",1,"Andrys igualito cuando explicas algo que hizo el chino"
"47",1,"No lo hagas v"
"48",1,"jajajajaja"
"49",1,"VIDEO Soltero y Casadojajajajajajano paras de reir con esta comparativa "
"50",1,NA
"51",1,"Himno Nacional de Estados Unidos entonado durante la celebración del Día de la Independencia en la ciudad de Nueva York Impresionantes imágenes"
